Function,Lambda_Size,Time,Warmth,Duration,Lambda_Duration,Function_Duration
crowbar_hello_world,128,2018-09-15 00:01:30 -0700,cold,0.229,0.22899985313415527,0.0
crowbar_hello_world,128,2018-09-15 00:01:51 -0700,warm,0.006,0.00599980354309082,0.0
python_hello_world,128,2018-09-15 00:46:52 -0700,cold,0.22,0.2200000286102295,0.0
python_hello_world,128,2018-09-15 00:47:13 -0700,warm,0.014,0.01399993896484375,0.009999990463256836
rust-aws-lambda_hello_world,128,2018-09-15 01:32:14 -0700,cold,0.255,0.25500011444091797,0.0
rust-aws-lambda_hello_world,128,2018-09-15 01:32:35 -0700,warm,0.008,0.007999897003173828,0.0
go_hello_world,128,2018-09-15 02:17:36 -0700,cold,0.264,0.26399993896484375,0.0010001659393310547
go_hello_world,128,2018-09-15 02:17:57 -0700,warm,0.025,0.02499985694885254,0.0
crowbar_hello_world,128,2018-09-15 00:01:39 -0700,cold,0.285,0.2850000858306885,0.0
crowbar_hello_world,128,2018-09-15 00:02:00 -0700,warm,0.006,0.004999876022338867,0.0
python_hello_world,128,2018-09-15 00:47:01 -0700,cold,0.22,0.2200000286102295,0.0
python_hello_world,128,2018-09-15 00:47:22 -0700,warm,0.021,0.020999908447265625,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 01:32:23 -0700,cold,0.202,0.20200014114379883,0.0
rust-aws-lambda_hello_world,128,2018-09-15 01:32:44 -0700,warm,0.011,0.010999917984008789,0.0
go_hello_world,128,2018-09-15 02:17:45 -0700,cold,0.329,0.3280000686645508,0.0009999275207519531
go_hello_world,128,2018-09-15 02:18:06 -0700,warm,0.015,0.01399993896484375,0.009999990463256836
crowbar_hello_world,128,2018-09-14 17:57:12 -0700,cold,0.248,0.2480001449584961,0.0
crowbar_hello_world,128,2018-09-14 17:57:33 -0700,warm,0.007,0.006999969482421875,0.0010001659393310547
python_hello_world,128,2018-09-14 18:42:34 -0700,cold,0.209,0.2089998722076416,0.0
python_hello_world,128,2018-09-14 18:42:54 -0700,warm,0.005,0.004999876022338867,0.0
rust-aws-lambda_hello_world,128,2018-09-14 19:27:55 -0700,cold,0.263,0.2590000629425049,0.0
rust-aws-lambda_hello_world,128,2018-09-14 19:28:16 -0700,warm,0.012,0.006999969482421875,0.0
go_hello_world,128,2018-09-14 20:13:17 -0700,cold,0.346,0.34599995613098145,0.0009999275207519531
go_hello_world,128,2018-09-14 20:13:38 -0700,warm,0.017,0.01699995994567871,0.009000062942504883
crowbar_hello_world,128,2018-09-15 00:02:10 -0700,cold,0.248,0.247999906539917,0.0
crowbar_hello_world,128,2018-09-15 00:02:30 -0700,warm,0.007,0.0070002079010009766,0.0
python_hello_world,128,2018-09-15 00:47:32 -0700,cold,0.262,0.26199984550476074,0.0009999275207519531
python_hello_world,128,2018-09-15 00:47:52 -0700,warm,0.005,0.004000186920166016,0.0
rust-aws-lambda_hello_world,128,2018-09-15 01:32:54 -0700,cold,0.229,0.22900009155273438,0.01100015640258789
rust-aws-lambda_hello_world,128,2018-09-15 01:33:14 -0700,warm,0.005,0.004999876022338867,0.0
go_hello_world,128,2018-09-15 02:18:16 -0700,cold,0.357,0.35700011253356934,0.008999824523925781
go_hello_world,128,2018-09-15 02:18:36 -0700,warm,0.095,0.014000177383422852,0.0
crowbar_hello_world,128,2018-09-15 06:06:25 -0700,cold,0.274,0.2740001678466797,0.0010001659393310547
crowbar_hello_world,128,2018-09-15 06:06:46 -0700,warm,0.008,0.00800013542175293,0.0010001659393310547
python_hello_world,128,2018-09-15 06:51:47 -0700,cold,0.215,0.21500015258789062,0.0
python_hello_world,128,2018-09-15 06:52:07 -0700,warm,0.008,0.00800013542175293,0.0
rust-aws-lambda_hello_world,128,2018-09-15 07:37:08 -0700,cold,0.24,0.24000000953674316,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 07:37:29 -0700,warm,0.005,0.004999876022338867,0.0009999275207519531
go_hello_world,128,2018-09-15 08:22:30 -0700,cold,0.328,0.3280000686645508,0.0
go_hello_world,128,2018-09-15 08:22:51 -0700,warm,0.018,0.018000125885009766,0.010999917984008789
crowbar_hello_world,128,2018-09-15 03:03:43 -0700,cold,0.289,0.28600001335144043,0.0
crowbar_hello_world,128,2018-09-15 03:04:03 -0700,warm,0.009,0.005000114440917969,0.0
python_hello_world,128,2018-09-15 03:49:04 -0700,cold,0.227,0.22699999809265137,0.0
python_hello_world,128,2018-09-15 03:49:25 -0700,warm,0.005,0.005000114440917969,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:34:26 -0700,cold,0.257,0.257000207901001,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:34:46 -0700,warm,0.024,0.02200007438659668,0.01699995994567871
go_hello_world,128,2018-09-15 05:19:47 -0700,cold,0.31,0.309999942779541,0.019999980926513672
go_hello_world,128,2018-09-15 05:20:08 -0700,warm,0.022,0.02200007438659668,0.0009999275207519531
crowbar_hello_world,128,2018-09-14 17:58:08 -0700,cold,0.258,0.25800013542175293,0.0009999275207519531
crowbar_hello_world,128,2018-09-14 17:58:28 -0700,warm,0.006,0.006000041961669922,0.0010001659393310547
python_hello_world,128,2018-09-14 18:43:30 -0700,cold,0.227,0.22699999809265137,0.0
python_hello_world,128,2018-09-14 18:43:50 -0700,warm,0.008,0.007999897003173828,0.0019998550415039062
rust-aws-lambda_hello_world,128,2018-09-14 19:28:51 -0700,cold,0.216,0.21600008010864258,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-14 19:29:11 -0700,warm,0.005,0.004999876022338867,0.0
go_hello_world,128,2018-09-14 20:14:13 -0700,cold,0.393,0.39299988746643066,0.0009999275207519531
go_hello_world,128,2018-09-14 20:14:33 -0700,warm,0.02,0.019999980926513672,0.016000032424926758
crowbar_hello_world,128,2018-09-15 03:04:19 -0700,cold,0.254,0.254000186920166,0.0
crowbar_hello_world,128,2018-09-15 03:04:39 -0700,warm,0.004,0.003999948501586914,0.0
python_hello_world,128,2018-09-15 03:49:40 -0700,cold,0.246,0.24600005149841309,0.0
python_hello_world,128,2018-09-15 03:50:01 -0700,warm,0.005,0.003999948501586914,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:35:02 -0700,cold,0.25,0.24699997901916504,0.0010001659393310547
rust-aws-lambda_hello_world,128,2018-09-15 04:35:22 -0700,warm,0.015,0.012000083923339844,0.008999824523925781
go_hello_world,128,2018-09-15 05:20:24 -0700,cold,0.411,0.4049999713897705,0.0
go_hello_world,128,2018-09-15 05:20:44 -0700,warm,0.031,0.023999929428100586,0.0009999275207519531
crowbar_hello_world,128,2018-09-15 06:05:48 -0700,cold,0.231,0.23100018501281738,0.0
crowbar_hello_world,128,2018-09-15 06:06:09 -0700,warm,0.004,0.003999948501586914,0.0
python_hello_world,128,2018-09-15 06:51:10 -0700,cold,0.254,0.2539999485015869,0.0
python_hello_world,128,2018-09-15 06:51:30 -0700,warm,0.005,0.004999876022338867,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 07:36:31 -0700,cold,0.251,0.25099992752075195,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 07:36:52 -0700,warm,0.005,0.004999876022338867,0.0
go_hello_world,128,2018-09-15 08:21:53 -0700,cold,0.368,0.3680000305175781,0.0010001659393310547
go_hello_world,128,2018-09-15 08:22:14 -0700,warm,0.005,0.004999876022338867,0.0
crowbar_hello_world,128,2018-09-15 03:03:32 -0700,cold,0.259,0.2590000629425049,0.0
crowbar_hello_world,128,2018-09-15 03:03:53 -0700,warm,0.008,0.00800013542175293,0.0
python_hello_world,128,2018-09-15 03:48:54 -0700,cold,0.254,0.24499988555908203,0.0
python_hello_world,128,2018-09-15 03:49:15 -0700,warm,0.016,0.006999969482421875,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:34:16 -0700,cold,0.209,0.2090001106262207,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:34:36 -0700,warm,0.007,0.006999969482421875,0.0009999275207519531
go_hello_world,128,2018-09-15 05:19:37 -0700,cold,0.315,0.315000057220459,0.016000032424926758
go_hello_world,128,2018-09-15 05:19:58 -0700,warm,0.015,0.0070002079010009766,0.003000020980834961
crowbar_hello_world,128,2018-09-15 03:02:55 -0700,cold,0.234,0.23399996757507324,0.0
crowbar_hello_world,128,2018-09-15 03:03:16 -0700,warm,0.007,0.0070002079010009766,0.0
python_hello_world,128,2018-09-15 03:48:17 -0700,cold,0.242,0.24199986457824707,0.0
python_hello_world,128,2018-09-15 03:48:37 -0700,warm,0.008,0.007999897003173828,0.0
rust-aws-lambda_hello_world,128,2018-09-15 04:33:38 -0700,cold,0.205,0.2049999237060547,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 04:33:59 -0700,warm,0.005,0.005000114440917969,0.0
go_hello_world,128,2018-09-15 05:18:59 -0700,cold,0.344,0.34399986267089844,0.0009999275207519531
go_hello_world,128,2018-09-15 05:19:20 -0700,warm,0.006,0.00599980354309082,0.0009999275207519531
crowbar_hello_world,128,2018-09-15 00:00:49 -0700,cold,0.267,0.2669999599456787,0.0
crowbar_hello_world,128,2018-09-15 00:01:09 -0700,warm,0.005,0.004999876022338867,0.0
python_hello_world,128,2018-09-15 00:46:11 -0700,cold,0.216,0.21599984169006348,0.0
python_hello_world,128,2018-09-15 00:46:31 -0700,warm,0.005,0.004999876022338867,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-15 01:31:32 -0700,cold,0.173,0.17299985885620117,0.0
rust-aws-lambda_hello_world,128,2018-09-15 01:31:53 -0700,warm,0.019,0.01900005340576172,0.014999866485595703
go_hello_world,128,2018-09-15 02:16:54 -0700,cold,0.313,0.312999963760376,0.00599980354309082
go_hello_world,128,2018-09-15 02:17:15 -0700,warm,0.04,0.03900003433227539,0.034999847412109375
crowbar_hello_world,128,2018-09-14 20:59:19 -0700,cold,0.252,0.252000093460083,0.0
crowbar_hello_world,128,2018-09-14 20:59:40 -0700,warm,0.022,0.02200007438659668,0.0
python_hello_world,128,2018-09-14 21:44:41 -0700,cold,0.269,0.2689998149871826,0.0
python_hello_world,128,2018-09-14 21:45:02 -0700,warm,0.006,0.006000041961669922,0.0
rust-aws-lambda_hello_world,128,2018-09-14 22:30:03 -0700,cold,0.215,0.21499991416931152,0.0
rust-aws-lambda_hello_world,128,2018-09-14 22:30:23 -0700,warm,0.007,0.006000041961669922,0.0010001659393310547
go_hello_world,128,2018-09-14 23:15:25 -0700,cold,0.398,0.39800000190734863,0.019999980926513672
go_hello_world,128,2018-09-14 23:15:46 -0700,warm,0.006,0.006000041961669922,0.0
crowbar_hello_world,128,2018-09-14 20:58:40 -0700,cold,0.251,0.24099993705749512,0.0009999275207519531
crowbar_hello_world,128,2018-09-14 20:59:00 -0700,warm,0.018,0.004999876022338867,0.0
python_hello_world,128,2018-09-14 21:44:01 -0700,cold,0.25,0.24900007247924805,0.0
python_hello_world,128,2018-09-14 21:44:22 -0700,warm,0.006,0.006000041961669922,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-14 22:29:23 -0700,cold,0.256,0.2560000419616699,0.002000093460083008
rust-aws-lambda_hello_world,128,2018-09-14 22:29:44 -0700,warm,0.015,0.014999866485595703,0.010999917984008789
go_hello_world,128,2018-09-14 23:14:45 -0700,cold,0.353,0.3529999256134033,0.0010001659393310547
go_hello_world,128,2018-09-14 23:15:06 -0700,warm,0.022,0.02200007438659668,0.017000198364257812
crowbar_hello_world,128,2018-09-15 06:05:32 -0700,cold,0.249,0.24899983406066895,0.0009999275207519531
crowbar_hello_world,128,2018-09-15 06:05:53 -0700,warm,0.083,0.009000062942504883,0.0
python_hello_world,128,2018-09-15 06:50:54 -0700,cold,0.255,0.25499987602233887,0.0
python_hello_world,128,2018-09-15 06:51:15 -0700,warm,0.019,0.01900005340576172,0.015000104904174805
rust-aws-lambda_hello_world,128,2018-09-15 07:36:16 -0700,cold,0.239,0.2390000820159912,0.006000041961669922
rust-aws-lambda_hello_world,128,2018-09-15 07:36:36 -0700,warm,0.004,0.003999948501586914,0.0
go_hello_world,128,2018-09-15 08:21:37 -0700,cold,0.33,0.3299999237060547,0.0009999275207519531
go_hello_world,128,2018-09-15 08:21:58 -0700,warm,0.007,0.006999969482421875,0.0
crowbar_hello_world,128,2018-09-14 20:59:32 -0700,cold,0.234,0.23399996757507324,0.0
crowbar_hello_world,128,2018-09-14 20:59:52 -0700,warm,0.005,0.005000114440917969,0.0
python_hello_world,128,2018-09-14 21:44:53 -0700,cold,0.239,0.23799991607666016,0.0
python_hello_world,128,2018-09-14 21:45:14 -0700,warm,0.008,0.0070002079010009766,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-14 22:30:15 -0700,cold,0.243,0.24299979209899902,0.0
rust-aws-lambda_hello_world,128,2018-09-14 22:30:36 -0700,warm,0.016,0.016000032424926758,0.010999917984008789
go_hello_world,128,2018-09-14 23:15:37 -0700,cold,0.442,0.4419999122619629,0.020000219345092773
go_hello_world,128,2018-09-14 23:15:58 -0700,warm,0.021,0.020999908447265625,0.0010001659393310547
crowbar_hello_world,128,2018-09-14 17:57:22 -0700,cold,0.238,0.23799991607666016,0.0
crowbar_hello_world,128,2018-09-14 17:57:43 -0700,warm,0.005,0.005000114440917969,0.0
python_hello_world,128,2018-09-14 18:42:44 -0700,cold,0.244,0.24200010299682617,0.0
python_hello_world,128,2018-09-14 18:43:05 -0700,warm,0.006,0.003999948501586914,0.0010001659393310547
rust-aws-lambda_hello_world,128,2018-09-14 19:28:06 -0700,cold,0.277,0.27700018882751465,0.0009999275207519531
rust-aws-lambda_hello_world,128,2018-09-14 19:28:26 -0700,warm,0.017,0.017000198364257812,0.0
go_hello_world,128,2018-09-14 20:13:27 -0700,cold,0.392,0.3919999599456787,0.017999887466430664
go_hello_world,128,2018-09-14 20:13:48 -0700,warm,0.012,0.011999845504760742,0.00599980354309082
